query,position,impressions,clicks,ctr,ranking_url,search_intent,priority,data_source
home inspectors indianapolis,4.37,226,6,2.65%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspection indianapolis in,6.69,159,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspector noblesville, in",7.17,156,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspections noblesville, in",7.95,151,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspection avon, in",9.45,146,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspector avon, in",10.43,138,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspector fishers, in",6.88,135,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspection orestes, in",9.73,133,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspections avon, in",9.6,125,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspection walkerton, in",17.53,123,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspections spiceland, in",11.59,121,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspectors noblesville, in",7.45,119,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspection wallace, in",10.95,118,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspection spiceland, in",11.0,118,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspectors avon, in",10.52,117,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspection roann, in",10.62,115,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspections wallace, in",12.38,114,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspector wallace, in",15.0,112,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
allcheck inspections reviews,4.28,111,1,0.9%,Needs query+page crosstab export to confirm,commercial - service,High,GSC (real export)
home inspector indianapolis in,6.3,105,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspection walton, in",13.64,102,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspections goldsmith, in",13.85,102,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Highest,GSC (real export)
"home inspection unionville, in",17.18,100,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspectors wallace, in",19.22,100,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspector frankton, in",13.91,99,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspectors indianapolis in,4.49,98,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspections indianapolis in,5.25,96,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspection indianapolis,6.36,94,1,1.06%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"radon testing south whitley, in",19.86,94,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"radon testing walkerton, in",16.74,93,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"radon testing cromwell, in",19.78,92,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspection ingalls, in",10.85,87,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
all check,11.16,86,3,3.49%,Needs query+page crosstab export to confirm,commercial - service,High,GSC (real export)
home inspections avon in,10.35,85,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspections ingalls, in",10.06,82,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
plumbing inspection greenwood in,9.82,77,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspector indianapolis,6.65,75,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspector avon in,10.53,75,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspection avon in,9.78,74,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspectors avon in,10.46,72,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspector spiceland, in",11.46,67,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspector castleton, in",17.06,66,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspections stilesville, in",12.12,65,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspector stilesville, in",13.27,56,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspectors near me,4.02,53,3,5.66%,Needs query+page crosstab export to confirm,local commercial - near me,High,GSC (real export)
allcheck,12.2,50,5,10.0%,Needs query+page crosstab export to confirm,commercial - service,High,GSC (real export)
"home inspection stilesville, in",11.96,50,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
"home inspectors stilesville, in",12.6,50,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,High,GSC (real export)
home inspectors carmel in,12.87,47,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspections carmel in,13.11,46,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection carmel in,12.64,44,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"radon testing chalmers, in",15.79,43,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"radon testing hartford city, in",16.6,42,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspections noblesville in,8.32,41,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspectors orestes, in",10.56,41,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
