query,clicks,impressions,ctr,avg_position,prev_clicks,prev_impressions,prev_ctr,prev_avg_position,data_source
allcheck inspections,34,130,26.15%,1.23,33,165,20.0%,1.32,GSC (real export)
all check inspections,26,50,52.0%,1.2,37,75,49.33%,1.07,GSC (real export)
home inspectors indianapolis,6,226,2.65%,4.37,5,286,1.75%,5.35,GSC (real export)
allcheck,5,50,10.0%,12.2,7,42,16.67%,14.14,GSC (real export)
all check home inspections,4,14,28.57%,1.29,0,0,0.0%,0.0,GSC (real export)
all check,3,86,3.49%,11.16,1,65,1.54%,10.31,GSC (real export)
home inspectors near me,3,53,5.66%,4.02,2,60,3.33%,3.8,GSC (real export)
best home inspectors indianapolis,2,29,6.9%,4.76,2,30,6.67%,3.73,GSC (real export)
allcheck inspections reviews,1,111,0.9%,4.28,0,93,0.0%,3.61,GSC (real export)
home inspection indianapolis,1,94,1.06%,6.36,3,117,2.56%,7.14,GSC (real export)
home inspections indianapolis,1,27,3.7%,6.96,3,25,12.0%,5.64,GSC (real export)
house inspector near me,1,9,11.11%,2.11,0,0,0.0%,0.0,GSC (real export)
house inspectors near me,1,8,12.5%,5.0,0,6,0.0%,8.83,GSC (real export)
home inspections near me,1,5,20.0%,4.4,0,32,0.0%,51.22,GSC (real export)
daily inspection,1,1,100.0%,2.0,0,0,0.0%,0.0,GSC (real export)
radon testing near me,0,273,0.0%,1.0,0,0,0.0%,0.0,GSC (real export)
"home inspections warsaw, in",0,217,0.0%,34.03,0,118,0.0%,49.45,GSC (real export)
home inspection indianapolis in,0,159,0.0%,6.69,0,179,0.0%,6.53,GSC (real export)
"home inspector noblesville, in",0,156,0.0%,7.17,0,16,0.0%,7.62,GSC (real export)
"home inspections noblesville, in",0,151,0.0%,7.95,0,16,0.0%,7.69,GSC (real export)
radon inspection near me,0,146,0.0%,1.0,0,0,0.0%,0.0,GSC (real export)
"home inspection avon, in",0,146,0.0%,9.45,0,22,0.0%,20.18,GSC (real export)
"home inspector avon, in",0,138,0.0%,10.43,0,9,0.0%,15.44,GSC (real export)
